,Code,Name,Country,Exchange,Currency,Type,Isin
206,AASP,Global Acquisitions Corporation,USA,PINK,USD,Common Stock,US01643P1057
210,AASZF,Atlantic Sapphire ASA,USA,OTCQX,USD,Common Stock,
211,AAT,American Assets Trust Inc,USA,NYSE,USD,Common Stock,US0240131047
212,AATC,Autoscope Technologies Corp,USA,PINK,USD,Common Stock,US0533061067
213,AATGF,ATI Airtest Technologies Inc,USA,PINK,USD,Common Stock,
215,AATRL,Amg Cap Tr Ii,USA,PINK,USD,Common Stock,US00170F2092
217,AATV,Adaptive Ad Systems Inc,USA,PINK,USD,Common Stock,US00650A1007
218,AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock,CA0202833053
219,AAUGD,Angold Resources Ltd.,USA,PINK,USD,Common Stock,
220,AAUGF,Angold Resources Ltd,USA,PINK,USD,Common Stock,
221,AAUKF,Anglo American plc,USA,OTCQX,USD,Common Stock,USG037641002
224,AAVMY,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock,
225,AAVVF,Advantage Oil & Gas Ltd.,USA,PINK,USD,Common Stock,CA00791P1071
226,AAVXF,ABIVAX Société Anonyme,USA,PINK,USD,Common Stock,
228,AAWH,Ascend Wellness Holdings Inc,USA,OTCQX,USD,Common Stock,US04351N1063
231,AAXT,Aamaxan Transport Group Inc,USA,OTCCE,USD,Common Stock,
232,AAYYY,Australian Agricultural Company Limited,USA,PINK,USD,Common Stock,
236,AB,AllianceBernstein Holding L.P. ,USA,NYSE,USD,Common Stock,US01881G1067
238,ABAKF,Aberdeen Asia-Pacific Income Investment Company Limited,USA,PINK,USD,Common Stock,
240,ABANF,Automatic Bank Services Limited,USA,PINK,USD,Common Stock,
242,ABBB,Auburn Bancorp Inc,USA,PINK,USD,Common Stock,US0502541016
243,ABBNY,ABB Ltd,USA,OTCMKTS,USD,Common Stock,US0003752047
244,ABBRF,AbraSilver Resource Corp,USA,OTCQX,USD,Common Stock,CA00379L1067
245,ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock,US00287Y1091
246,ABC,AmerisourceBergen,USA,NYSE,USD,Common Stock,US03073E1055
247,ABCAF,Athabasca Minerals Inc,USA,PINK,USD,Common Stock,
249,ABCB,Ameris Bancorp,USA,NASDAQ,USD,Common Stock,US03076K1088
251,ABCE,ABCO Energy Inc,USA,PINK,USD,Common Stock,US00287V4023
253,ABCFF,Abacus Mining & Exploration Corporation,USA,PINK,USD,Common Stock,
255,ABCL,Abcellera Biologics Inc,USA,NASDAQ,USD,Common Stock,CA00288U1066
256,ABCM,Abcam PLC,USA,NASDAQ,USD,Common Stock,US0003802040
257,ABCP,Ambase Corp,USA,PINK,USD,Common Stock,US0231641061
262,ABCZF,Abcam plc,USA,PINK,USD,Common Stock,
264,ABDDF,AB Dynamics plc,USA,PINK,USD,Common Stock,
268,ABEO,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00289Y1073
269,ABEPF,Vision Lithium Inc,USA,OTCQB,USD,Common Stock,
272,ABEV,Ambev SA ADR,USA,NYSE,USD,Common Stock,US02319V1035
275,ABG,Asbury Automotive Group Inc,USA,NYSE,USD,Common Stock,US0434361046
277,ABGSF,ABG Sundal Collier Holding ASA,USA,PINK,USD,Common Stock,
278,ABHBY,Alfen N.V.,USA,OTCGREY,USD,Common Stock,
286,ABILF,Ability Inc,USA,PINK,USD,Common Stock,KYG8789K1242
289,ABIO,ARCA Biopharma Inc,USA,NASDAQ,USD,Common Stock,US00211Y5069
290,ABIT,Athena Bitcoin Global,USA,PINK,USD,Common Stock,
294,ABL,Abacus Life Inc.,USA,NASDAQ,USD,Common Stock,
295,ABLLW,Abacus Life Inc.,USA,NASDAQ,USD,Common Stock,
298,ABLT,American Biltrite Inc,USA,PINK,USD,Common Stock,US0245911096
299,ABLV,Able View Global Inc. Class B Ordinary Shares,USA,NASDAQ,USD,Common Stock,
300,ABLVW,Able View Global Inc. Warrant,USA,NASDAQ,USD,Common Stock,
302,ABLZF,ABB Ltd,USA,PINK,USD,Common Stock,CH0012221716
303,ABM,ABM Industries Incorporated,USA,NYSE,USD,Common Stock,US0009571003
304,ABMBF,Abcourt Mines Inc,USA,PINK,USD,Common Stock,
305,ABMC,Amer Bio Medica,USA,PINK,USD,Common Stock,US0246001087
307,ABML,American Battery Metals Corp USD,USA,OTCQB,USD,Common Stock,US02451V1017
308,ABMRF,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock,
309,ABMT,Advanced Biomedical Technologies Inc,USA,PINK,USD,Common Stock,US00752M1018
310,ABNAF,Aben Resources Ltd,USA,PINK,USD,Common Stock,CA00289T3064
312,ABNB,Airbnb Inc,USA,NASDAQ,USD,Common Stock,US0090661010
323,ABOS,Acumen Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00509G2093
326,ABPR,Airborne Security & Protective Services Inc,USA,PINK,USD,Common Stock,US00927Q1022
333,ABQQ,AB International Group Corp,USA,PINK,USD,Common Stock,US00083U2024
338,ABR,Arbor Realty Trust,USA,NYSE,USD,Common Stock,US0389231087
339,ABR-PD,Arbor Realty Trust Inc | 6.375% Series D Cumulative,USA,NYSE,USD,Preferred Stock,
340,ABR-PE,Arbor Realty Trust Inc | 6.25% Series E Cumulative,USA,NYSE,USD,Preferred Stock,
341,ABR-PF,Arbor Realty Trust Inc | 6.25% Series F Cumulative,USA,NYSE,USD,Preferred Stock,
347,ABRMF,Arbor Metals Corp,USA,PINK,USD,Common Stock,
357,ABSCF,AB Science S.A,USA,PINK,USD,Common Stock,
358,ABSI,Absci Corp,USA,NASDAQ,USD,Common Stock,US00091E1091
362,ABSSF,AirBoss of America Corp,USA,OTCQX,USD,Common Stock,
363,ABST,Absolute Software Corporation,USA,NASDAQ,USD,Common Stock,CA00386B1094
366,ABT,Abbott Laboratories,USA,NYSE,USD,Common Stock,US0028241000
371,ABTI,Alterola Biotech Inc,USA,PINK,USD,Common Stock,
373,ABTO,AB&T Financial Corp,USA,PINK,USD,Common Stock,
377,ABTZY,Aboitiz Equity Ventures Inc ADR,USA,PINK,USD,Common Stock,US0037253061
379,ABUS,Arbutus Biopharma Corp,USA,NASDAQ,USD,Common Stock,CA03879J1003
381,ABVC,ABVC Biopharma Inc,USA,NASDAQ,USD,Common Stock,US00091F1066
383,ABVG,Affinity Beverage Group Inc,USA,OTCCE,USD,Common Stock,US00831F1012
392,ABWN,Airborne Wireless Network,USA,PINK,USD,Common Stock,US00928L3006
395,ABXXD,Abaxx Technologies Inc.,USA,OTCQX,USD,Common Stock,
396,ABXXF,Abaxx Technologies Inc,USA,OTCQX,USD,Common Stock,CA00258V1004
403,ABZPF,Aboitiz Power Corporation,USA,PINK,USD,Common Stock,
404,ABZPY,Aboitiz Power Corp ADR,USA,PINK,USD,Common Stock,US0037301084
406,AC,Associated Capital Group Inc,USA,NYSE,USD,Common Stock,US0455281065
407,ACA,Arcosa Inc,USA,NYSE,USD,Common Stock,US0396531008
409,ACAB,Atlantic Coastal Acquisition Corp II,USA,NASDAQ,USD,Common Stock,US04845A1088
410,ACABU,Atlantic Coastal Acquisition Corp II Unit,USA,NASDAQ,USD,Common Stock,US04845A2078
411,ACABW,Atlantic Coastal Acquisition Corp. II Warrant,USA,NASDAQ,USD,Common Stock,
412,ACAC,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock,US72815G1085
413,ACACU,Acri Capital Acquisition Corporation Unit,USA,NASDAQ,USD,Common Stock,KYG0103T1215
414,ACACW,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock,
416,ACAD,ACADIA Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0042251084
420,ACAH,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0484531043
421,ACAHU,Atlantic Coastal Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,US0484532033
422,ACAHW,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,
423,ACAI,Safeplus International Holdings Ltd,USA,PINK,USD,Common Stock,US78646R1068
424,ACAN,Americann Inc,USA,OTCQB,USD,Common Stock,US0305881072
425,ACAQ,Athena Consumer Acquisition Corp,USA,NYSE MKT,USD,Common Stock,US04684M1062
426,ACAQ-UN,Athena Consumer Acquisition Corp.,USA,NASDAQ,USD,Common Stock,
427,ACAQ-WT,Athena Consumer Acquisition Corp.,USA,NYSE,USD,Common Stock,
431,ACAVF,ACE Aviation Holdings Inc,USA,OTCGREY,USD,Common Stock,CA00440P4096
432,ACAX,Alset Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02115M1099
433,ACAXR,Alset Capital Acquisition Corp. Right,USA,NASDAQ,USD,Common Stock,
434,ACAXU,Alset Capital Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,US02115M2089
435,ACAXW,Alset Capital Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
438,ACAZF,Acadian Timber Corp,USA,PINK,USD,Common Stock,CA0042721005
440,ACB,Aurora Cannabis Inc,USA,NASDAQ,USD,Common Stock,CA05156X8843
441,ACBA,Ace Global Business Acquisition Ltd,USA,NASDAQ,USD,Common Stock,VGG0083E1025
442,ACBAU,Ace Global Business Acquisition Ltd Unit,USA,NASDAQ,USD,Common Stock,VGG0083E1280
443,ACBAW,Ace Global Business Acquisition Limited,USA,NASDAQ,USD,Common Stock,
444,ACBCQ,Albina Community Bancorp,USA,PINK,USD,Common Stock,
445,ACBD,Annabidiol Corp,USA,PINK,USD,Common Stock,
447,ACBM,ACRO Biomedical Co Ltd,USA,PINK,USD,Common Stock,US0048921052
450,ACCA,Acacia Diversified Holdings Inc,USA,PINK,USD,Common Stock,US00389L1044
453,ACCD,Accolade Inc,USA,NASDAQ,USD,Common Stock,US00437E1029
455,ACCFF,Accord Financial Corp,USA,PINK,USD,Common Stock,
460,ACCMF,AAC Clyde Space AB,USA,OTCQX,USD,Common Stock,SE0009268154
462,ACCO,Acco Brands Corporation,USA,NYSE,USD,Common Stock,US00081T1088
466,ACCR,Access-Power & Co. Inc,USA,PINK,USD,Common Stock,US00431N1081
472,ACCYY,Accor SA Ltd,USA,PINK,USD,Common Stock,US00435F3091
474,ACDC,ProFrac Holding Corp.,USA,NASDAQ,USD,Common Stock,
475,ACDCW,ProFrac Holding Corp. Warrant,USA,NASDAQ,USD,Common Stock,
478,ACDSF,Ascendas Real Estate Investment Trust,USA,PINK,USD,Common Stock,
479,ACDVF,Air Canada,USA,OTCQX,USD,Common Stock,
480,ACDXF,American Copper Development Corporation,USA,OTCQB,USD,Common Stock,
483,ACEHF,PT Ace Hardware Indonesia Tbk,USA,OTCGREY,USD,Common Stock,
486,ACEJF,ACEA S.p.A,USA,OTCGREY,USD,Common Stock,
488,ACEL,Accel Entertainment Inc,USA,NYSE,USD,Common Stock,US00436Q1067
490,ACER,Acer Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00444P1084
494,ACET,Adicet Bio Inc,USA,NASDAQ,USD,Common Stock,US0070021086
498,ACEYY,Acer Incorporated,USA,PINK,USD,Common Stock,
505,ACFN,Acorn Energy Inc,USA,OTCQB,USD,Common Stock,US0048481073
509,ACGBF,Agricultural Bank Of China,USA,PINK,USD,Common Stock,CNE100000Q43
510,ACGBY,Agricultural Bank of China PK,USA,PINK,USD,Common Stock,US00850M1027
513,ACGI,The Amacore Group Inc,USA,PINK,USD,Common Stock,
516,ACGL,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,BMG0450A1053
517,ACGLN,Arch Capital Group Ltd,USA,NASDAQ,USD,Preferred Stock,
518,ACGLO,Arch Capital Group Ltd.,USA,NASDAQ,USD,Preferred Stock,US03939A1079
521,ACGN,Aceragen Inc.,USA,NASDAQ,USD,Common Stock,US00445F1093
523,ACGX,Alliance Creative Gr,USA,PINK,USD,Common Stock,US01858T2069
524,ACGYF,Subsea 7 S.A,USA,PINK,USD,Common Stock,
527,ACHC,Acadia Healthcare Company Inc,USA,NASDAQ,USD,Common Stock,US00404A1097
528,ACHFF,Arch Biopartners Inc,USA,OTCQB,USD,Common Stock,
530,ACHKF,Achiko AG,USA,PINK,USD,Common Stock,
531,ACHL,Achilles Therapeutics PLC ADR,USA,NASDAQ,USD,Common Stock,US00449L1026
533,ACHR,Archer Aviation Inc,USA,NYSE,USD,Common Stock,US03945R1023
534,ACHV,Achieve Life Sciences Inc,USA,NASDAQ,USD,Common Stock,US0044685008
535,ACI,Albertsons Companies,USA,NYSE,USD,Common Stock,US0130911037
536,ACIC,American Coastal Insurance Corp,USA,NASDAQ,USD,Common Stock,US9107101027
546,ACIU,AC Immune Ltd,USA,NASDAQ,USD,Common Stock,CH0329023102
547,ACIW,ACI Worldwide Inc,USA,NASDAQ,USD,Common Stock,US0044981019
550,ACKAY,Arcelik  AS ADR,USA,PINK,USD,Common Stock,US03937X1090
551,ACKDF,Auckland International Airport Limited,USA,PINK,USD,Common Stock,
552,ACKRF,American Creek Resources Ltd,USA,OTCQB,USD,Common Stock,
555,ACLHF,ACME Lithium Inc,USA,OTCQB,USD,Common Stock,
556,ACLIF,ABB Turbo Systems AG,USA,OTCGREY,USD,Common Stock,
557,ACLLF,Atco Ltd,USA,PINK,USD,Common Stock,CA0467894006
558,ACLLY,ABB Turbo Systems AG,USA,OTCGREY,USD,Common Stock,
559,ACLS,Axcelis Technologies Inc,USA,NASDAQ,USD,Common Stock,US0545402085
560,ACLTF,ATCO Ltd,USA,PINK,USD,Common Stock,
561,ACLX,Arcellx Inc,USA,NASDAQ,USD,Common Stock,US03940C1009
562,ACM,Aecom Technology Corporation,USA,NYSE,USD,Common Stock,US00766T1007
564,ACMB,Agro Capital Management Corp,USA,PINK,USD,Common Stock,
567,ACMDY,Atlas Consolidated Mining and Development Corporation,USA,PINK,USD,Common Stock,
569,ACMR,Acm Research Inc,USA,NASDAQ,USD,Common Stock,US00108J1097
570,ACMT,ACMAT Corporation,USA,PINK,USD,Common Stock,US0046161081
571,ACMTA,ACMAT Corp,USA,PINK,USD,Common Stock,US0046162071
574,ACN,Accenture plc,USA,NYSE,USD,Common Stock,IE00B4BNMY34
575,ACNB,ACNB Corporation,USA,NASDAQ,USD,Common Stock,US0008681092
576,ACNDF,Ascendas India Trust,USA,PINK,USD,Common Stock,
577,ACNE,Alice Consolidated Mines Inc,USA,PINK,USD,Common Stock,US0160961092
578,ACNFF,Amsterdam Commodities NV,USA,OTCGREY,USD,Common Stock,NL0000313286
579,ACNNF,AusCann Group Holdings Ltd,USA,PINK,USD,Common Stock,
580,ACNT,Synalloy Corporation,USA,NASDAQ,USD,Common Stock,
581,ACNV,Accelera Innovations Inc,USA,PINK,USD,Common Stock,
584,ACOGF,Alpha Cognition Inc,USA,OTCQB,USD,Common Stock,
585,ACON,Aclarion Inc,USA,NASDAQ,USD,Common Stock,US6551871022
586,ACONW,Aclarion Inc,USA,NASDAQ,USD,Common Stock,
587,ACOPF,The a2 Milk Company Limited,USA,PINK,USD,Common Stock,
588,ACOPY,The A2 Milk Company Ltd,USA,PINK,USD,Common Stock,US0022011011
589,ACOR,Acorda Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00484M6012
591,ACP-PA,Aberdeen Income Credit Strategies Fund,USA,NYSE,USD,Preferred Stock,
593,ACPIF,AC Energy Corporation,USA,OTCGREY,USD,Common Stock,
594,ACPRF,ArcPacific Resources Corp,USA,PINK,USD,Common Stock,
595,ACPS,AC Partners Inc,USA,PINK,USD,Common Stock,
598,ACR,Acres Commercial Realty Corp,USA,NYSE,USD,Common Stock,US00489Q1022
599,ACR-PC,ACRES Commercial Realty Corp,USA,NYSE,USD,Preferred Stock,
600,ACR-PD,ACRES Commercial Realty Corp.,USA,NYSE,USD,Preferred Stock,
601,ACRB,Asia Carbon Industries Inc,USA,PINK,USD,Common Stock,
602,ACRDF,Acreage Holdings Inc,USA,OTCQX,USD,Common Stock,
603,ACRE,Ares Commercial Real Estate,USA,NYSE,USD,Common Stock,US04013V1089
604,ACRFF,Accor SA,USA,PINK,USD,Common Stock,
605,ACRG,American Clean Resources Group Inc.,USA,OTCQB,USD,Common Stock,
606,ACRHF,Acreage Holdings Inc,USA,OTCQX,USD,Common Stock,CA00489Y6001
608,ACRL,Atacama Resources International Inc,USA,PINK,USD,Common Stock,US04651H1068
610,ACRO,Acropolis Infrastructure Acquisition Corp,USA,NYSE,USD,Common Stock,US0050291030
611,ACRO-WT,Acropolis Infrastructure Acquisition Corp.,USA,NYSE,USD,Common Stock,
612,ACRS,Aclaris Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00461U1051
613,ACRV,Acrivon Therapeutics Inc. Common Stock,USA,NASDAQ,USD,Common Stock,
614,ACRX,AcelRx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00444T1007
615,ACSAF,ACS Actividades de Construcción y Servicios S.A,USA,PINK,USD,Common Stock,
616,ACSAY,ACS Actividades De Construccion Y Servicios SA ADR,USA,PINK,USD,Common Stock,US00089H1068
629,ACST,Acasti Pharma Inc,USA,NASDAQ,USD,Common Stock,CA00430K8730
632,ACSYF,Accsys Technologies PLC,USA,PINK,USD,Common Stock,
634,ACT,Enact Holdings Inc,USA,NASDAQ,USD,Common Stock,US29249E1091
637,ACTG,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock,US0038813079
638,ACTHF,Aduro Clean Technologies Inc,USA,OTCQB,USD,Common Stock,
641,ACTL,Artec Consulting Corp,USA,PINK,USD,Common Stock,US04300F1057
654,ACTX,Advanced Container Technologies Inc,USA,PINK,USD,Common Stock,US00791F1093
655,ACU,Acme United Corporation,USA,NYSE MKT,USD,Common Stock,US0048161048
657,ACUR,Acura Pharmaceuticals Inc,USA,OTCQB,USD,Common Stock,US00509L8028
658,ACUS,Acusphere Inc,USA,PINK,USD,Common Stock,US00511R8549
660,ACUT,Accustem Sciences Inc,USA,OTCQB,USD,Common Stock,
662,ACVA,ACV Auctions Inc,USA,NASDAQ,USD,Common Stock,US00091G1040
675,ACWRF,Acceleware Ltd,USA,PINK,USD,Common Stock,CA00433V1085
682,ACXIF,Acciona S.A,USA,PINK,USD,Common Stock,
684,ACXP,Acurx Pharmaceuticals LLC,USA,NASDAQ,USD,Common Stock,US00510M1045
690,ADAD,Huaizhong Health Group Inc,USA,PINK,USD,Common Stock,
691,ADAG,Adagene Inc,USA,NASDAQ,USD,Common Stock,US0053291078
694,ADAP,Adaptimmune Therapeutics Plc,USA,NASDAQ,USD,Common Stock,US00653A1079
697,ADBCF,Adbri Limited,USA,PINK,USD,Common Stock,
698,ADBE,Adobe Systems Incorporated,USA,NASDAQ,USD,Common Stock,US00724F1012
699,ADBKF,Addiko Bank AG,USA,PINK,USD,Common Stock,
701,ADBRF,Aldebaran Resources Inc,USA,OTCQX,USD,Common Stock,
702,ADC,Agree Realty Corporation,USA,NYSE,USD,Common Stock,US0084921008
703,ADC-PA,Agree Realty Corporation,USA,NASDAQ,USD,Preferred Stock,
706,ADCOF,Adcore Inc,USA,OTCQX,USD,Common Stock,
707,ADCT,ADC Therapeutics SA,USA,NYSE,USD,Common Stock,CH0499880968
708,ADCV,ADCapital US Inc,USA,PINK,USD,Common Stock,
711,ADD,Color Star Technology Co. Ltd.,USA,NASDAQ,USD,Common Stock,
712,ADDC,Addmaster Corporation,USA,PINK,USD,Common Stock,
713,ADDDF,Adidas AG,USA,OTCQX,USD,Common Stock,DE000A1EWWW0
714,ADDHY,Addtech AB (publ.),USA,PINK,USD,Common Stock,
715,ADDLF,AddLife AB (publ),USA,PINK,USD,Common Stock,
717,ADDYY,Adidas AG ADR,USA,OTCQX,USD,Common Stock,US00687A1079
718,ADEA,ADEIA CORP,USA,NASDAQ,USD,Common Stock,
721,ADER,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P1003
722,ADERU,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P2092
723,ADERW,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,
724,ADERY,Aida Engineering Ltd ADR,USA,PINK,USD,Common Stock,US0087122000
725,ADES,Advanced Emissions Solutions Inc,USA,NASDAQ,USD,Common Stock,US00770C1018
726,ADEVF,Adevinta ASA,USA,PINK,USD,Common Stock,
727,ADEVY,Adevinta ASA,USA,PINK,USD,Common Stock,
728,ADEX,Adit EdTech Acquisition Cor,USA,NYSE MKT,USD,Common Stock,US0070241023
729,ADEX-WT,Adit EdTech Acquisition Corp.,USA,NYSE,USD,Common Stock,
733,ADFJF,ADF Group Inc,USA,PINK,USD,Common Stock,
734,ADFS,American Defense Systems Inc,USA,PINK,USD,Common Stock,US0253511077
736,ADGCF,Advance Gold Corp,USA,PINK,USD,Common Stock,
741,ADGO,Advantego Corporation,USA,PINK,USD,Common Stock,US00775N1028
745,ADHC,American Diversified Holdings Corp,USA,PINK,USD,Common Stock,US02541R3003
746,ADHI,Arsenal Digital Holdings Inc.,USA,PINK,USD,Common Stock,
747,ADHLF,Applied Development Holdings Limited,USA,PINK,USD,Common Stock,
748,ADI,Analog Devices Inc,USA,NASDAQ,USD,Common Stock,US0326541051
749,ADIA,Adia Nutrition Inc,USA,PINK,USD,Common Stock,
750,ADIL,Adial Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00688A1060
751,ADILW,Adial Pharmaceuticals Inc. WT EXP 073123,USA,NASDAQ,USD,Common Stock,
754,ADIWW,Adial Pharmaceuticals Inc,USA,PINK,USD,Common Stock,
757,ADKIL,Adkins Energy LLC,USA,OTCGREY,USD,Common Stock,
759,ADKT,The Adirondack Trust Company,USA,PINK,USD,Common Stock,
760,ADLDY,Adelaide Brighton Ltd ADR,USA,PINK,USD,Common Stock,US00653T1060
763,ADM,Archer-Daniels-Midland Company,USA,NYSE,USD,Common Stock,US0394831020
764,ADMA,ADMA Biologics Inc,USA,NASDAQ,USD,Common Stock,US0008991046
766,ADMG,Adamant DRI Processing and Minerals Group,USA,PINK,USD,Common Stock,US00548B1044
767,ADMLF,Adriatic Metals Plc,USA,OTCQX,USD,Common Stock,AU0000004772
768,ADMP,Adamis Pharma,USA,NASDAQ,USD,Common Stock,US00547W2089
769,ADMQ,ADM Endeavors Inc,USA,OTCQB,USD,Common Stock,
771,ADMT,Adm Tronics Unltd,USA,OTCQB,USD,Common Stock,US0010041004
773,ADN,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,US00788A1051
779,ADNT,Adient PLC,USA,NYSE,USD,Common Stock,IE00BD845X29
780,ADNWW,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,
783,ADOC,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG4000A1022
784,ADOCR,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,
785,ADOCW,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,
787,ADOIF,Adocia SA,USA,PINK,USD,Common Stock,
789,ADOOY,Adaro Energy Tbk PT ADR,USA,PINK,USD,Common Stock,US00652F1075
791,ADP,Automatic Data Processing Inc,USA,NASDAQ,USD,Common Stock,US0530151036
794,ADPPF,Adler Group S.A,USA,PINK,USD,Common Stock,
795,ADPT,Adaptive Biotechnologies Corp,USA,NASDAQ,USD,Common Stock,US00650F1093
797,ADPXF,Audio Pixels Holdings Limited,USA,OTCGREY,USD,Common Stock,
798,ADPXY,Audio Pixels Holdings Ltd ADR,USA,PINK,USD,Common Stock,US05072T1088
